_id,TOTAL,fechaFactura,Client.DNI,Client.Name,Client.Surname,traficoMinutos
ObjectId(5e13d8e9054a095daa7ac55a),17.6,2017-05-03,16304184J,Adelgiro,Camayo,89.1
ObjectId(5e13d8e9054a095daa7ac55b),17.6,2017-05-03,16304184J,Adelgiro,Camayo,1.03
ObjectId(5e13d8e9054a095daa7ac55c),17.6,2017-05-03,66312279J,Silvia Luciana,Calderon,34.65
ObjectId(5e13d8e9054a095daa7ac55d),17.6,2017-05-03,66312279J,Silvia Luciana,Calderon,154.44
ObjectId(5e13d8e9054a095daa7ac55e),17.6,2017-05-03,66312279J,Silvia Luciana,Calderon,127
ObjectId(5e13d8e9054a095daa7ac55f),17.6,2017-05-03,66312279J,Silvia Luciana,Calderon,95.06
ObjectId(5e13d8e9054a095daa7ac560),17.6,2017-05-03,66312279J,Silvia Luciana,Calderon,98
ObjectId(5e13d8e9054a095daa7ac561),17.6,2017-05-03,66312279J,Silvia Luciana,Calderon,90.16
ObjectId(5e13d8e9054a095daa7ac562),16.65,2017-05-03,71292980H,Daniel Mario,Raya,76.44
ObjectId(5e13d8e9054a095daa7ac563),16.65,2017-05-03,71292980H,Daniel Mario,Raya,91
ObjectId(5e13d8e9054a095daa7ac564),16.65,2017-05-03,71292980H,Daniel Mario,Raya,85.14
ObjectId(5e13d8e9054a095daa7ac565),16.65,2017-05-03,71292980H,Daniel Mario,Raya,16.400000000000002
ObjectId(5e13d8e9054a095daa7ac566),16.65,2017-05-03,71292980H,Daniel Mario,Raya,147
ObjectId(5e13d8e9054a095daa7ac567),16.65,2017-05-03,34983718M,Lorenzo,Fuertes,41.58
ObjectId(5e13d8e9054a095daa7ac568),16.65,2017-05-03,34983718M,Lorenzo,Fuertes,99
ObjectId(5e13d8e9054a095daa7ac569),16.65,2017-05-03,34983718M,Lorenzo,Fuertes,86.24
ObjectId(5e13d8e9054a095daa7ac56a),16.65,2017-05-03,34983718M,Lorenzo,Fuertes,58.28
ObjectId(5e13d8e9054a095daa7ac56b),16.65,2017-05-03,34983718M,Lorenzo,Fuertes,83.16
ObjectId(5e13d8e9054a095daa7ac56c),15.7,2017-05-03,58280466F,Evelina,Chia,83.16
ObjectId(5e13d8e9054a095daa7ac56d),15.7,2017-05-03,58280466F,Evelina,Chia,98.01
ObjectId(5e13d8e9054a095daa7ac56e),15.7,2017-05-03,58280466F,Evelina,Chia,101.92
ObjectId(5e13d8e9054a095daa7ac56f),15.7,2017-05-03,58280466F,Evelina,Chia,99.99
ObjectId(5e13d8e9054a095daa7ac570),15.7,2017-05-03,58280466F,Evelina,Chia,91.14
ObjectId(5e13d8e9054a095daa7ac571),15.7,2017-05-03,93566516D,Teodosio,Puma,127.39999999999999
ObjectId(5e13d8e9054a095daa7ac572),15.7,2017-05-03,93566516D,Teodosio,Puma,94
ObjectId(5e13d8e9054a095daa7ac573),21.6,2017-05-03,59427180X,Montserrat,Hernandez,63.36
ObjectId(5e13d8e9054a095daa7ac574),21.6,2017-05-03,59427180X,Montserrat,Hernandez,67
ObjectId(5e13d8e9054a095daa7ac575),21.6,2017-05-03,59427180X,Montserrat,Hernandez,65.66
ObjectId(5e13d8e9054a095daa7ac576),21.6,2017-05-03,59427180X,Montserrat,Hernandez,142
ObjectId(5e13d8e9054a095daa7ac577),21.6,2017-05-03,59427180X,Montserrat,Hernandez,95.06
ObjectId(5e13d8e9054a095daa7ac578),21.6,2017-05-03,59427180X,Montserrat,Hernandez,100.98
ObjectId(5e13d8e9054a095daa7ac579),21.6,2017-05-03,59427180X,Montserrat,Hernandez,88.11
ObjectId(5e13d8e9054a095daa7ac57a),21.6,2017-05-03,59427180X,Montserrat,Hernandez,124
ObjectId(5e13d8e9054a095daa7ac57b),21.6,2017-05-03,59427180X,Montserrat,Hernandez,82.17
ObjectId(5e13d8e9054a095daa7ac57c),21.6,2017-05-03,59427180X,Montserrat,Hernandez,1.06
ObjectId(5e13d8e9054a095daa7ac57d),21.6,2017-05-03,59427180X,Montserrat,Hernandez,126
ObjectId(5e13d8e9054a095daa7ac57e),20.65,2017-05-03,21733320E,Amaya,Ingaroca,89.1
ObjectId(5e13d8e9054a095daa7ac57f),20.65,2017-05-03,21733320E,Amaya,Ingaroca,4.2
ObjectId(5e13d8e9054a095daa7ac580),20.65,2017-05-03,21733320E,Amaya,Ingaroca,43.12
ObjectId(5e13d8e9054a095daa7ac581),20.65,2017-05-03,21733320E,Amaya,Ingaroca,118.8
ObjectId(5e13d8e9054a095daa7ac582),20.65,2017-05-03,21733320E,Amaya,Ingaroca,4.55
ObjectId(5e13d8e9054a095daa7ac583),20.65,2017-05-03,21733320E,Amaya,Ingaroca,2.7800000000000002
ObjectId(5e13d8e9054a095daa7ac584),20.65,2017-05-03,21733320E,Amaya,Ingaroca,5.34
ObjectId(5e13d8e9054a095daa7ac585),20.65,2017-05-03,21733320E,Amaya,Ingaroca,106
ObjectId(5e13d8e9054a095daa7ac586),20.65,2017-05-03,21733320E,Amaya,Ingaroca,95.03999999999999
ObjectId(5e13d8e9054a095daa7ac587),20.65,2017-05-03,21733320E,Amaya,Ingaroca,123.75
ObjectId(5e13d8e9054a095daa7ac588),20.65,2017-05-03,21733320E,Amaya,Ingaroca,99
ObjectId(5e13d8e9054a095daa7ac589),20.65,2017-05-03,21733320E,Amaya,Ingaroca,4.36
ObjectId(5e13d8e9054a095daa7ac58a),17.6,2017-05-03,01581449S,Gerardo Pedro,Palacios,102
ObjectId(5e13d8e9054a095daa7ac58b),23.5,2017-05-03,35717519Z,Ignacio,"[""Guillen"",""Perez""]",45
ObjectId(5e13d8e9054a095daa7ac58c),23.5,2017-05-03,35717519Z,Ignacio,"[""Guillen"",""Perez""]",117
ObjectId(5e13d8e9054a095daa7ac58d),23.5,2017-05-03,35717519Z,Ignacio,"[""Guillen"",""Perez""]",106.92
ObjectId(5e13d8e9054a095daa7ac58e),23.5,2017-05-03,35717519Z,Ignacio,"[""Guillen"",""Perez""]",102
ObjectId(5e13d8e9054a095daa7ac58f),23.5,2017-05-03,35717519Z,Ignacio,"[""Guillen"",""Perez""]",23.099999999999998
ObjectId(5e13d8e9054a095daa7ac590),23.5,2017-05-03,35717519Z,Ignacio,"[""Guillen"",""Perez""]",126
ObjectId(5e13d8e9054a095daa7ac591),23.5,2017-05-03,35717519Z,Ignacio,"[""Guillen"",""Perez""]",106.92
ObjectId(5e13d8e9054a095daa7ac592),23.5,2017-05-03,35717519Z,Ignacio,"[""Guillen"",""Perez""]",94
ObjectId(5e13d8e9054a095daa7ac593),23.5,2017-05-03,35717519Z,Ignacio,"[""Guillen"",""Perez""]",24.6
ObjectId(5e13d8e9054a095daa7ac594),23.5,2017-05-03,35717519Z,Ignacio,"[""Guillen"",""Perez""]",108.78
ObjectId(5e13d8e9054a095daa7ac595),16.65,2017-05-03,58359966L,Encarnacion,Carazas,90.09
ObjectId(5e13d8e9054a095daa7ac596),16.65,2017-05-03,58359966L,Encarnacion,Carazas,79.38
ObjectId(5e13d8e9054a095daa7ac597),16.65,2017-05-03,58359966L,Encarnacion,Carazas,90
ObjectId(5e13d8e9054a095daa7ac598),16.65,2017-05-03,58359966L,Encarnacion,Carazas,4.2
ObjectId(5e13d8e9054a095daa7ac599),16.65,2017-05-03,58359966L,Encarnacion,Carazas,108.78
ObjectId(5e13d8e9054a095daa7ac59a),16.65,2017-05-03,58359966L,Encarnacion,Carazas,143
ObjectId(5e13d8e9054a095daa7ac59b),14.75,2017-05-03,55019426E,Daniel David,"[""Diaz"",""Illescas""]",98
ObjectId(5e13d8e9054a095daa7ac59c),14.75,2017-05-03,55019426E,Daniel David,"[""Diaz"",""Illescas""]",116
ObjectId(5e13d8e9054a095daa7ac59d),19.5,2017-05-03,04566002L,Alberto,Escate,1.82
ObjectId(5e13d8e9054a095daa7ac59e),19.5,2017-05-03,04566002L,Alberto,Escate,101
ObjectId(5e13d8e9054a095daa7ac59f),21.4,2017-05-03,04902466Q,Beti,Pittman,110.74
ObjectId(5e13d8e9054a095daa7ac5a0),21.4,2017-05-03,04902466Q,Beti,Pittman,96.03999999999999
ObjectId(5e13d8e9054a095daa7ac5a1),21.4,2017-05-03,04902466Q,Beti,Pittman,99
ObjectId(5e13d8e9054a095daa7ac5a2),21.4,2017-05-03,04902466Q,Beti,Pittman,103
ObjectId(5e13d8e9054a095daa7ac5a3),21.4,2017-05-03,04902466Q,Beti,Pittman,96.03
ObjectId(5e13d8e9054a095daa7ac5a4),21.4,2017-05-03,04902466Q,Beti,Pittman,103.88
ObjectId(5e13d8e9054a095daa7ac5a5),21.4,2017-05-03,04902466Q,Beti,Pittman,103
ObjectId(5e13d8e9054a095daa7ac5a6),18.75,2017-05-03,87361699V,Monica,"[""Hernandez"",""Malpartida""]",104.86
ObjectId(5e13d8e9054a095daa7ac5a7),18.75,2017-05-03,87361699V,Monica,"[""Hernandez"",""Malpartida""]",86
ObjectId(5e13d8e9054a095daa7ac5a8),18.75,2017-05-03,87361699V,Monica,"[""Hernandez"",""Malpartida""]",2.12
ObjectId(5e13d8e9054a095daa7ac5a9),18.75,2017-05-03,87361699V,Monica,"[""Hernandez"",""Malpartida""]",96.03999999999999
ObjectId(5e13d8e9054a095daa7ac5aa),18.75,2017-05-03,87361699V,Monica,"[""Hernandez"",""Malpartida""]",101
ObjectId(5e13d8e9054a095daa7ac5ab),18.75,2017-05-03,87361699V,Monica,"[""Hernandez"",""Malpartida""]",141.12
ObjectId(5e13d8e9054a095daa7ac5ac),19.5,2017-05-03,62451751N,Amaya,"[""Calero"",""Garcia""]",180.32
ObjectId(5e13d8e9054a095daa7ac5ad),18.75,2017-05-03,48184824P,Maria de los Milagros,Paja,104.86
ObjectId(5e13d8e9054a095daa7ac5ae),18.75,2017-05-03,48184824P,Maria de los Milagros,Paja,94.08
ObjectId(5e13d8e9054a095daa7ac5af),18.75,2017-05-03,48184824P,Maria de los Milagros,Paja,0.99
ObjectId(5e13d8e9054a095daa7ac5b0),18.75,2017-05-03,48184824P,Maria de los Milagros,Paja,90.09
ObjectId(5e13d8e9054a095daa7ac5b1),18.75,2017-05-03,48184824P,Maria de los Milagros,Paja,118.58
ObjectId(5e13d8e9054a095daa7ac5b2),18.75,2017-05-03,48184824P,Maria de los Milagros,Paja,119.78999999999999
ObjectId(5e13d8e9054a095daa7ac5b3),18.75,2017-05-03,48184824P,Maria de los Milagros,Paja,3.8000000000000003
ObjectId(5e13d8e9054a095daa7ac5b4),18.75,2017-05-03,48184824P,Maria de los Milagros,Paja,1.19
ObjectId(5e13d8e9054a095daa7ac5b5),18.75,2017-05-03,48184824P,Maria de los Milagros,Paja,96.03999999999999
ObjectId(5e13d8e9054a095daa7ac5b6),20.65,2017-05-03,59793384P,M. Ruth,Rodriguez,90
ObjectId(5e13d8e9054a095daa7ac5b7),20.65,2017-05-03,59793384P,M. Ruth,Rodriguez,85
ObjectId(5e13d8e9054a095daa7ac5b8),20.65,2017-05-03,59793384P,M. Ruth,Rodriguez,86.13
ObjectId(5e13d8e9054a095daa7ac5b9),20.65,2017-05-03,59793384P,M. Ruth,Rodriguez,118
ObjectId(5e13d8e9054a095daa7ac5ba),20.65,2017-05-03,59793384P,M. Ruth,Rodriguez,110
ObjectId(5e13d8e9054a095daa7ac5bb),20.65,2017-05-03,59793384P,M. Ruth,Rodriguez,109
ObjectId(5e13d8e9054a095daa7ac5bc),20.65,2017-05-03,59793384P,M. Ruth,Rodriguez,120
ObjectId(5e13d8e9054a095daa7ac5bd),20.65,2017-05-03,59793384P,M. Ruth,Rodriguez,55
ObjectId(5e13d8e9054a095daa7ac5be),20.65,2017-05-03,59793384P,M. Ruth,Rodriguez,80.19
ObjectId(5e13d8e9054a095daa7ac5bf),12.85,2017-05-03,51676247P,Maribel,Iglesias,104.94
ObjectId(5e13d8e9054a095daa7ac5c0),12.85,2017-05-03,51676247P,Maribel,Iglesias,96.03
ObjectId(5e13d8e9054a095daa7ac5c1),13.8,2017-05-03,07333150Z,Rita,Vazquez,99
ObjectId(5e13d8e9054a095daa7ac5c2),13.8,2017-05-03,07333150Z,Rita,Vazquez,4.5200000000000005
ObjectId(5e13d8e9054a095daa7ac5c3),13.8,2017-05-03,07333150Z,Rita,Vazquez,102.89999999999999
ObjectId(5e13d8e9054a095daa7ac5c4),13.8,2017-05-03,07333150Z,Rita,Vazquez,86.13
ObjectId(5e13d8e9054a095daa7ac5c5),13.8,2017-05-03,07333150Z,Rita,Vazquez,94.05
ObjectId(5e13d8e9054a095daa7ac5c6),14.75,2017-05-03,87043086T,Matias,"[""Prince"",""Solis""]",5.92
ObjectId(5e13d8e9054a095daa7ac5c7),14.75,2017-05-03,87043086T,Matias,"[""Prince"",""Solis""]",85.26
ObjectId(5e13d8e9054a095daa7ac5c8),14.75,2017-05-03,87043086T,Matias,"[""Prince"",""Solis""]",81.37
ObjectId(5e13d8e9054a095daa7ac5c9),14.75,2017-05-03,87043086T,Matias,"[""Prince"",""Solis""]",125.44
ObjectId(5e13d8e9054a095daa7ac5ca),14.75,2017-05-03,87043086T,Matias,"[""Prince"",""Solis""]",5.36
ObjectId(5e13d8e9054a095daa7ac5cb),14.75,2017-05-03,87043086T,Matias,"[""Prince"",""Solis""]",3.96
ObjectId(5e13d8e9054a095daa7ac5cc),14.75,2017-05-03,87043086T,Matias,"[""Prince"",""Solis""]",166.6
ObjectId(5e13d8e9054a095daa7ac5cd),12.85,2017-05-03,86172295N,Iban,"[""Olivas"",""Mendieta""]",98
ObjectId(5e13d8e9054a095daa7ac5ce),20.65,2017-05-03,93262843M,Armando,"[""Ventocilla"",""Copa""]",100.57000000000001
ObjectId(5e13d8e9054a095daa7ac5cf),20.65,2017-05-03,93262843M,Armando,"[""Ventocilla"",""Copa""]",118
ObjectId(5e13d8e9054a095daa7ac5d0),20.65,2017-05-03,93262843M,Armando,"[""Ventocilla"",""Copa""]",45.6
ObjectId(5e13d8e9054a095daa7ac5d1),20.65,2017-05-03,93262843M,Armando,"[""Ventocilla"",""Copa""]",90.16
ObjectId(5e13d8e9054a095daa7ac5d2),20.65,2017-05-03,93262843M,Armando,"[""Ventocilla"",""Copa""]",113.67999999999999
ObjectId(5e13d8e9054a095daa7ac5d3),20.65,2017-05-03,93262843M,Armando,"[""Ventocilla"",""Copa""]",85.26
ObjectId(5e13d8e9054a095daa7ac5d4),20.65,2017-05-03,93262843M,Armando,"[""Ventocilla"",""Copa""]",110
ObjectId(5e13d8e9054a095daa7ac5d5),20.65,2017-05-03,93262843M,Armando,"[""Ventocilla"",""Copa""]",120.78
ObjectId(5e13d8e9054a095daa7ac5d6),20.65,2017-05-03,93262843M,Armando,"[""Ventocilla"",""Copa""]",94.05
ObjectId(5e13d8e9054a095daa7ac5d7),14.75,2017-05-03,15432431Y,Amfiloquio,Reinoso,111.87
ObjectId(5e13d8e9054a095daa7ac5d8),14.75,2017-05-03,15432431Y,Amfiloquio,Reinoso,87.12
ObjectId(5e13d8e9054a095daa7ac5d9),14.75,2017-05-03,15432431Y,Amfiloquio,Reinoso,4.04
ObjectId(5e13d8e9054a095daa7ac5da),14.75,2017-05-03,15432431Y,Amfiloquio,Reinoso,86
ObjectId(5e13d8e9054a095daa7ac5db),16.65,2017-05-03,09282167B,Alberto,"[""Camayo"",""Prudencio""]",116.62
ObjectId(5e13d8e9054a095daa7ac5dc),16.65,2017-05-03,09282167B,Alberto,"[""Camayo"",""Prudencio""]",92
ObjectId(5e13d8e9054a095daa7ac5dd),16.65,2017-05-03,09282167B,Alberto,"[""Camayo"",""Prudencio""]",1.82
ObjectId(5e13d8e9054a095daa7ac5de),16.65,2017-05-03,09282167B,Alberto,"[""Camayo"",""Prudencio""]",4.8500000000000005
ObjectId(5e13d8e9054a095daa7ac5df),16.65,2017-05-03,09282167B,Alberto,"[""Camayo"",""Prudencio""]",80.36
ObjectId(5e13d8e9054a095daa7ac5e0),16.65,2017-05-03,09282167B,Alberto,"[""Camayo"",""Prudencio""]",90
ObjectId(5e13d8e9054a095daa7ac5e1),16.65,2017-05-03,09282167B,Alberto,"[""Camayo"",""Prudencio""]",129
ObjectId(5e13d8e9054a095daa7ac5e2),17.6,2017-05-03,73975020M,Alfonso,Enriquez,103.88
ObjectId(5e13d8e9054a095daa7ac5e3),17.6,2017-05-03,23651378H,Maria del Henar,Maranon,130
ObjectId(5e13d8e9054a095daa7ac5e4),17.6,2017-05-03,23651378H,Maria del Henar,Maranon,144
ObjectId(5e13d8e9054a095daa7ac5e5),17.6,2017-05-03,23651378H,Maria del Henar,Maranon,104.86
ObjectId(5e13d8e9054a095daa7ac5e6),17.6,2017-05-03,23651378H,Maria del Henar,Maranon,97.02
ObjectId(5e13d8e9054a095daa7ac5e7),17.6,2017-05-03,23651378H,Maria del Henar,Maranon,96.03999999999999
ObjectId(5e13d8e9054a095daa7ac5e8),17.6,2017-05-03,23651378H,Maria del Henar,Maranon,89.17999999999999
ObjectId(5e13d8e9054a095daa7ac5e9),17.6,2017-05-03,23651378H,Maria del Henar,Maranon,83
ObjectId(5e13d8e9054a095daa7ac5ea),14.75,2017-05-03,36705685P,Hamlet,Cabana,99.99
ObjectId(5e13d8e9054a095daa7ac5eb),14.75,2017-05-03,36705685P,Hamlet,Cabana,5.050000000000001
ObjectId(5e13d8e9054a095daa7ac5ec),14.75,2017-05-03,36705685P,Hamlet,Cabana,95.06
ObjectId(5e13d8e9054a095daa7ac5ed),14.75,2017-05-03,36705685P,Hamlet,Cabana,110.74
ObjectId(5e13d8e9054a095daa7ac5ee),14.75,2017-05-03,36705685P,Hamlet,Cabana,6
ObjectId(5e13d8e9054a095daa7ac5ef),14.75,2017-05-03,36705685P,Hamlet,Cabana,89
ObjectId(5e13d8e9054a095daa7ac5f0),14.91,2017-05-03,71811204Y,Arminda,Cabello,96.03999999999999
ObjectId(5e13d8e9054a095daa7ac5f1),14.91,2017-05-03,71811204Y,Arminda,Cabello,93.1
ObjectId(5e13d8e9054a095daa7ac5f2),14.91,2017-05-03,71811204Y,Arminda,Cabello,101.92
ObjectId(5e13d8e9054a095daa7ac5f3),14.91,2017-05-03,71811204Y,Arminda,Cabello,135
ObjectId(5e13d8e9054a095daa7ac5f4),16.65,2017-05-03,64767196R,Manuel Oscar,"[""Huapaya"",""Alatriste-Gomez""]",97.02
ObjectId(5e13d8e9054a095daa7ac5f5),15.81,2017-05-03,19907527S,Miguel Angel,Sanchez,148.5
ObjectId(5e13d8e9054a095daa7ac5f6),15.81,2017-05-03,19907527S,Miguel Angel,Sanchez,123.48
ObjectId(5e13d8e9054a095daa7ac5f7),15.81,2017-05-03,19907527S,Miguel Angel,Sanchez,103.88
ObjectId(5e13d8e9054a095daa7ac5f8),15.81,2017-05-03,19907527S,Miguel Angel,Sanchez,107.8
ObjectId(5e13d8e9054a095daa7ac5f9),15.81,2017-05-03,19907527S,Miguel Angel,Sanchez,117.81
ObjectId(5e13d8e9054a095daa7ac5fa),18.55,2017-05-03,53210032S,Nicodemo,Perez,94.05
ObjectId(5e13d8e9054a095daa7ac5fb),18.55,2017-05-03,53210032S,Nicodemo,Perez,88
ObjectId(5e13d8e9054a095daa7ac5fc),18.55,2017-05-03,53210032S,Nicodemo,Perez,131.32
ObjectId(5e13d8e9054a095daa7ac5fd),18.55,2017-05-03,53210032S,Nicodemo,Perez,83.3
ObjectId(5e13d8e9054a095daa7ac5fe),18.55,2017-05-03,53210032S,Nicodemo,Perez,128.7
ObjectId(5e13d8e9054a095daa7ac5ff),18.55,2017-05-03,53210032S,Nicodemo,Perez,122.76
ObjectId(5e13d8e9054a095daa7ac600),18.55,2017-05-03,53210032S,Nicodemo,Perez,5.25
ObjectId(5e13d8e9054a095daa7ac601),18.55,2017-05-03,53210032S,Nicodemo,Perez,87.12
ObjectId(5e13d8e9054a095daa7ac602),18.55,2017-05-03,53210032S,Nicodemo,Perez,100
ObjectId(5e13d8e9054a095daa7ac603),18.55,2017-05-03,53210032S,Nicodemo,Perez,98
ObjectId(5e13d8e9054a095daa7ac604),18.55,2017-05-03,53210032S,Nicodemo,Perez,89.1
ObjectId(5e13d8e9054a095daa7ac605),18.55,2017-05-03,53210032S,Nicodemo,Perez,90
ObjectId(5e13d8e9054a095daa7ac606),16.72,2017-05-03,33731757A,Sandra Fatima,Puma,90
ObjectId(5e13d8e9054a095daa7ac607),16.72,2017-05-03,33731757A,Sandra Fatima,Puma,4.3500000000000005
ObjectId(5e13d8e9054a095daa7ac608),16.72,2017-05-03,33731757A,Sandra Fatima,Puma,168.48000000000002
ObjectId(5e13d8e9054a095daa7ac609),16.72,2017-05-03,33731757A,Sandra Fatima,Puma,96.03999999999999
ObjectId(5e13d8e9054a095daa7ac60a),16.72,2017-05-03,33731757A,Sandra Fatima,Puma,83.16
ObjectId(5e13d8e9054a095daa7ac60b),16.72,2017-05-03,33731757A,Sandra Fatima,Puma,93.06
ObjectId(5e13d8e9054a095daa7ac60c),16.72,2017-05-03,33731757A,Sandra Fatima,Puma,95.03999999999999
ObjectId(5e13d8e9054a095daa7ac60d),16.72,2017-05-03,33731757A,Sandra Fatima,Puma,102.96
ObjectId(5e13d8e9054a095daa7ac60e),19.7,2017-05-03,44825789P,Victor,"[""Ruiz"",""Bocanegra""]",88
ObjectId(5e13d8e9054a095daa7ac60f),19.7,2017-05-03,44825789P,Victor,"[""Ruiz"",""Bocanegra""]",104.94
ObjectId(5e13d8e9054a095daa7ac610),19.7,2017-05-03,44825789P,Victor,"[""Ruiz"",""Bocanegra""]",45.12
ObjectId(5e13d8e9054a095daa7ac611),19.7,2017-05-03,44825789P,Victor,"[""Ruiz"",""Bocanegra""]",100
ObjectId(5e13d8e9054a095daa7ac612),19.7,2017-05-03,44825789P,Victor,"[""Ruiz"",""Bocanegra""]",13.2
ObjectId(5e13d8e9054a095daa7ac613),19.7,2017-05-03,44825789P,Victor,"[""Ruiz"",""Bocanegra""]",91.14
ObjectId(5e13d8e9054a095daa7ac614),19.7,2017-05-03,44825789P,Victor,"[""Ruiz"",""Bocanegra""]",101
ObjectId(5e13d8e9054a095daa7ac615),19.7,2017-05-03,44825789P,Victor,"[""Ruiz"",""Bocanegra""]",100.98
ObjectId(5e13d8e9054a095daa7ac616),12.85,2017-05-03,28002815Q,Pedro Andres,Hernandez,4.5
ObjectId(5e13d8e9054a095daa7ac617),12.85,2017-05-03,28002815Q,Pedro Andres,Hernandez,90
ObjectId(5e13d8e9054a095daa7ac618),12.85,2017-05-03,28002815Q,Pedro Andres,Hernandez,88
ObjectId(5e13d8e9054a095daa7ac619),15.7,2017-05-03,18948945G,Pedro,Casanova,88
ObjectId(5e13d8e9054a095daa7ac61a),15.7,2017-05-03,18948945G,Pedro,Casanova,5.45
ObjectId(5e13d8e9054a095daa7ac61b),15.7,2017-05-03,18948945G,Pedro,Casanova,94
ObjectId(5e13d8e9054a095daa7ac61c),15.7,2017-05-03,18948945G,Pedro,Casanova,95
ObjectId(5e13d8e9054a095daa7ac61d),15.7,2017-05-03,18948945G,Pedro,Casanova,0.89
ObjectId(5e13d8e9054a095daa7ac61e),19.5,2017-05-03,77540738X,Maria Jose,Cani,128.7
ObjectId(5e13d8e9054a095daa7ac61f),19.5,2017-05-03,77540738X,Maria Jose,Cani,88.2
ObjectId(5e13d8e9054a095daa7ac620),18.55,2017-05-03,46619505T,Silvia,"[""Montesinos"",""Escobar""]",51.52
ObjectId(5e13d8e9054a095daa7ac621),18.55,2017-05-03,46619505T,Silvia,"[""Montesinos"",""Escobar""]",114.66
ObjectId(5e13d8e9054a095daa7ac622),18.55,2017-05-03,46619505T,Silvia,"[""Montesinos"",""Escobar""]",101.92
ObjectId(5e13d8e9054a095daa7ac623),18.55,2017-05-03,46619505T,Silvia,"[""Montesinos"",""Escobar""]",85.26
ObjectId(5e13d8e9054a095daa7ac624),14.75,2017-05-03,22566879S,Leandro,"[""Ortiz"",""Ferro""]",108
ObjectId(5e13d8e9054a095daa7ac625),27.3,2017-05-03,21578998F,Sandra Fatima,Sanroman,99.99
ObjectId(5e13d8e9054a095daa7ac626),27.3,2017-05-03,21578998F,Sandra Fatima,Sanroman,9.5
ObjectId(5e13d8e9054a095daa7ac627),27.3,2017-05-03,21578998F,Sandra Fatima,Sanroman,5.5
ObjectId(5e13d8e9054a095daa7ac628),27.3,2017-05-03,21578998F,Sandra Fatima,Sanroman,86.13
ObjectId(5e13d8e9054a095daa7ac629),27.3,2017-05-03,21578998F,Sandra Fatima,Sanroman,90.16
ObjectId(5e13d8e9054a095daa7ac62a),27.3,2017-05-03,21578998F,Sandra Fatima,Sanroman,93.1
ObjectId(5e13d8e9054a095daa7ac62b),27.3,2017-05-03,21578998F,Sandra Fatima,Sanroman,88.2
ObjectId(5e13d8e9054a095daa7ac62c),27.3,2017-05-03,21578998F,Sandra Fatima,Sanroman,134.64
ObjectId(5e13d8e9054a095daa7ac62d),27.3,2017-05-03,21578998F,Sandra Fatima,Sanroman,110
ObjectId(5e13d8e9054a095daa7ac62e),27.3,2017-05-03,21578998F,Sandra Fatima,Sanroman,139
ObjectId(5e13d8e9054a095daa7ac62f),27.3,2017-05-03,21578998F,Sandra Fatima,Sanroman,106.92
ObjectId(5e13d8e9054a095daa7ac630),27.3,2017-05-03,21578998F,Sandra Fatima,Sanroman,112.86
ObjectId(5e13d8e9054a095daa7ac631),27.3,2017-05-03,21578998F,Sandra Fatima,Sanroman,107.8
